name,address,parking,rate
football court NEVE-YAM,"NEVE-YAM ,Aba HIlle Silver 12",yes,"0"
"football court , Pras-Novel","Pras-Novel, Milton Freadman",no,"0"
"football court, Pras-novel","Pras-Novel , Paul Samuelson",yes,"0"
"football court , Pras-Novel Garden 1","Pras-Novel ,Maagal Hashlom 10",no,"0"
"football court , Pras-Novel Garden 2","Pras-Novel ,Maagal Hashlom 31",no,"0"
"football court , Pras-Novel School 1","Pras-Novel, Maagal Hashlom 1",yes,"0"
"football court , Pras-Novel School 2","Pras-Novel, Maagal Hashlom 1",yes,"0"
"football court , Pras-Novel , 360 Country","Pras-Novel ,Rene Kasen ,360 Country",yes,"0"
"football court , Ashalim , Atarim School","Ashalim, Hatizmoret 13",yes,"0"
"football court ASHALIM , mekif T","Ashalim, Yithak Rabin 5",yes,"0"
"football court ,Ashalim center","Ashalim, Yithak Rabin 5",yes,"0"
"football court Ashalim, Omanuyot school","Ashalim, Homa ve-Migdal",yes,"0"
"football court , Ashalim school","Ashalim, Hatizmoret 43",yes,"0"
"football court ,Ashalim park","Ashalim, Ashalim Park",yes,"0"
"football court ,Kiryat ganim ,Negba school","Kiryat ganim, Negba 31-33",yes,"0"
"football court ,Kiryat Ganim school","Kiryat Ganim, Negba 33",yes,"0"
"football court , kiryat ganim ,simtat hagan","Kiryat ganim, Simtat Hagan",yes,"0"
"football court , Kiryat Ganim , netiv haulpana","Kiryat Ganim , Sde-Nahum 4",no,"0"
"football court ,Cramim School","Cramim, Hayain 5",yes,"0"
"football court ,Cramim, middle School Rabin","Cramim, Hasuka 9",yes,"0"
"football court ,Cramim , zvulon School","Cramim, Hatkuma 10",yes,"0"
"football court , Maccabi House","Kiryat Rishon, Golda Meir 1",yes,"0"
"football court , Kiryat Rishon Garden","Kiryat Rishon , Golda Meir 24",yes,"0"
"football court , Kiryat Rishon , Avivim School","Kiryat Rishon , Hasahlav 2",yes,"0"
"football court ,Kiryat Rishon , Amirim School","Kirayt Rishon , Hasitvanit 19",yes,"0"
"football court , Kiryat Rishon , Renanim School","Kiryat Rishon , Halmonit 19",yes,"0"
"football court , Cramim, Zvulon School 2","Cramim, Hatkuma 10",yes,"0"
"football court ,Hazikaron park",Hasidey Umot Olam 1,yes,"0"
"football court , AmphiPark 1","Kiryat Rishon , Golda Meir 8",yes,"0"
"football court , AmphiPark 2","Kiryat Rishon , Golda Meir 8",yes,"0"
"football court , Moshe-Dayan bd",Levy Eshkol / Moshe Dayan,no,"0"
"football court , AmphiPark 3","Kiryat Rishon , Golda Meir 8",yes,"0"
"football court, AmphiPark 4","Kiryat Rishon , Golda Meir 8",yes,"0"
"football court, AmphiPark 5","Kiryat Rishon , Golda Meir 8",yes,"0"
"football court , AmphiPark 6","Kiryat Rishon , Golda Meir 8",yes,"0"
"football court , Ben Gurion /Begin",Begin 13,no,"0"
"football Court , Amit Amal School 1",Hamitnadvim 5,yes,"0"
"football court , Amit Amal Scoohl 2",Hamitnadvim 5,yes,"0"
"football court  , Haystadrut / Ben Gurion",Hahistadrut 4,no,"0"
"football court , Yesod Hamaala School",Geretz 12,yes,"0"
"football court , Sport Center Rishon Lezion 1",Ben Gurion,yes,"0"
"football court , Sport Center Rishon Lezion 2",Ben Gurion,yes,"0"
"football court , Gan Manhigim",Zabutinski / Moshe Dayan,yes,"0"
"football court , Shalmon School",Shenkin 18,yes,"0"
"football court , Gimnesia Rialyt School",Smylanski 22,no,"0"
"football court , Zeev / Mordey Hagetaot",Shikun Hamizrah. Zeev 10,no,"0"
"football court , Mamad Yeshuron School","Gordon , Bnot Haya Habad",no,"0"
"football court , Remez School",Hatzav 22,yes,"0"
"football court , Gan Be-Ivrit 1",Levin Michael Ve-Hana,yes,"0"
"football court , Gan Be-Ivrit 2",Levin Michael Ve-Hana,yes,"0"
"football court , Gan Be-Ivrit 3",Levin Michael Ve-Hana,yes,"0"
"football court , Marom Rishon",Ha-tyashvut 86,no,"0"
"football court , Revivim School 1",Gush- Atzyon 23,yes,"0"
"football court , Revivim School 2",Gush- Atzyon 23,yes,"0"
"football court , Ofakim School",Aviazar Yalin 14,yes,"0"
"football court , Reut School, Kidmat Rishon",Reuven Ve-Bat Sheva 4,yes,"0"
"football court ,Harav Rapaport  / Segal",Harav Rapaport  1,no,"0"
"football court , Tarbut School",Bernayds 10,no,"0"
"football court , Belkind School",Beit Lehem 5,no,"0"
"football court , Community Center Alumim",Belkind 21,yes,"0"
"football court , Arazim School",Bashari Saadya Ve - Yosef,no,"0"
"football court , Hadarim School",Tamar Even 11,yes,"0"
"football court , Gimnasya Rialyt",Horovitz 36,no,"0"
"football court , Mekif Mamad B School",Hertzel 134,no,"0"
"football court , Ein-Hakore School , Remez",Bernitzki 27,yes,"0"
"football court , Mamad Harel School",David Remez 15,no,"0"
"football court , Yadlin School",Hayarkon 3,no,"0"
"football court, Training field, SuperLand area",Yosef Tomy Lapid 8,yes,"0"
"football court, Rishon Lezion Stadium",Yosef Tomy Lapid 8,yes,"0"
"football court , Adini School",Herbet Samuel 15,yes,"0"
"football court , Eshkolot School",Yoel Druvin 35,no,"0"
