name,adrress,phone,parking,rate
"gym , 360 country",prass-novel,03-99999,yes,"0"
Attakashaka CrossFit,yosef sapir 9,054-2980044,yes,"0"
CrossFit de first,", haim moshe shapira 7",054-7244553,yes,"0"
mindset gym,ha'agana 42,054-5877843,yes,"0"
sher-fitness studio,yosef lishanski 4,04-888-8200,yes,"0"
EMS club gym,Yosef lishantzki 19,no,no,"0"
Cross Fit,yosef lishanski 22,03-605-7774,yes,"0"
sher-fitness,lazrov 23,04-888-8200,yes,"0"
Y-sport,david saharov 19,052-387-3630,yes,"0"
FITCOL,zeev sheleng 4,058-460-7080,yes,"0"
zeus spa gym,yaldey teheran 5,072-330-4248,yes,"0"
profit,hatizmoret 60,03-9339000,yes,"0"
studio zuza,kfar hitim 3,no,yes,"0"
studio C,ben gurion 4,03-738-8721,yes,"0"
GO ACTIVE,Israel Galili 7,03-941-4455,yes,"0"
Lazuz,hahalmonit 27,03-529-9932,yes,"0"
icon,rotchild 45,077-776-4240,yes,"0"
Eitan,natan bernitzki 31,03-966-0623,YES,"0"
fitness land,tarmab 32,077-301-6007,no,"0"
360 sport center,Ha'atzmaut 37,03-633-6000,yes,"0"
under control,flutitzki 10,03-947-7793,yes,"0"
fit lab,dereh ha'macabim 16,"0545285835",no,"0"
Crossfit,moshe beker 18,"0545935313",yes,"0"
MS fitness,breshvski 7,"0525283287",yes,"0"
Lazuz,yaakov freiman 20,"035299932",yes,"0"
katzir,mordehai popel 9,"0505636468",no,"0"
Studio C,yehuda ha'levi 45,"037388720",no,"0"
Sport club nevei yam,jerusalem 88,"039673335",yes,"0"
Space fix,shederot nim 2,"0503314186",yes,"0"
